unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,compact_idle_pressure
1786593452,3307964,14240,83886080,20242825216,1894,0,319,319,86,5.8,587497,2155872256,570425344,33554432,6816082,1304708,19286,0,394172656,0
1786593462,3308220,14240,83886080,20242825216,1894,0,322,322,68,5.8,585248,2155872256,570425344,33554432,4194512,1309329,19286,0,394432560,0
1786593472,3307812,14240,83886080,20244922368,1894,0,324,324,75,5.8,585109,2155872256,570425344,33554432,6816082,1341760,19288,0,396110408,0
1786593482,3313324,14240,83886080,20255424512,1893,0,328,328,62,5.8,585209,2162163712,570425344,33554432,6816082,1361367,19298,0,406045448,0
1786593492,3309240,14240,83886080,20257521664,1893,0,328,328,87,5.8,592288,2155872256,570425344,33554432,6816082,1367798,19300,0,409322544,0
1786593504,3309488,14240,83886080,20259618816,1892,0,329,329,90,5.8,585195,2155872256,570425344,33554432,6816082,1372256,19302,0,411678448,0
1786593514,3314040,14240,83886080,20268015616,1892,0,333,333,62,5.8,589982,2161115136,570425344,33554432,5767454,1387496,19310,0,419559408,0
1786593524,3313528,14240,83886080,20282703872,1891,0,333,333,90,5.8,592650,2160066560,570425344,33554432,6816082,1416210,19324,0,434684144,0
1786593534,3313544,14240,83886080,20291108864,1890,0,337,337,70,5.8,585176,2160066560,570425344,33554432,6816082,1432445,19332,0,443097488,0
1786593544,3308420,14240,83886080,20295303168,1890,0,339,339,73,5.8,585229,2155872256,570425344,33554432,6816082,1438413,19336,0,446236248,0
1786593555,3309504,14240,83886080,20295303168,1890,0,341,341,66,5.8,588728,2155872256,570425344,33554432,6816082,1440633,19336,0,447340840,0
1786593565,3308580,14240,83886080,20298461184,1890,0,341,341,81,5.8,587042,2155872256,570425344,33554432,6816082,1444935,19339,0,449561552,0
1786593575,3316788,14240,83886080,20308951040,1889,0,345,345,63,5.8,593915,2164260864,570425344,33554432,6816082,1464916,19349,0,460118056,0
1786593585,3309732,14240,83886080,20334149632,1887,0,345,345,92,5.8,589360,2155872256,570425344,33554432,6816082,1514700,19373,0,486374648,0
1786593596,3315688,14240,83886080,20345683968,1886,0,349,349,68,5.8,586396,2163212288,570425344,33554432,6816082,1534716,19384,0,496873512,0
