unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes
1786242132,3347620,14240,83886080,21953724416,1549,0,593,593,72,7.2,621289,2165309440,570425344,33554432,7340396
1786242142,3346748,14240,83886080,21970518016,1548,0,597,597,65,7.2,617984,2164260864,570425344,33554432,7340396
1786242152,3344336,14240,83886080,21991510016,1547,0,601,601,60,7.2,617977,2163212288,570425344,33554432,7340396
1786242162,3342568,14240,83886080,22004105216,1546,0,604,604,64,7.2,619347,2159017984,570425344,33554432,7340396
1786242172,3346928,14240,83886080,22033494016,1545,0,607,607,68,7.2,617899,2165309440,570425344,33554432,7340396
1786242182,3349736,14240,83886080,22058684416,1544,0,611,611,63,7.2,621750,2167406592,570425344,33554432,7340396
1786242192,3338344,14240,83886080,22063939584,1544,0,613,613,69,7.2,625805,2155872256,570425344,33554432,7340396
1786242202,3351872,14240,83886080,22083878912,1543,0,617,617,56,7.2,618065,2169503744,570425344,33554432,7340396
1786242212,3344028,14240,83886080,22111162368,1542,0,621,621,59,7.2,617980,2162163712,570425344,33554432,6816082
1786242222,3343884,14240,83886080,22137405440,1541,0,624,624,60,7.2,618620,2162163712,570425344,33554432,6816082
1786242232,3343076,14240,83886080,22161543168,1541,0,625,625,83,7.2,625211,2161115136,570425344,33554432,7340396
1786242242,3359984,14240,83886080,22190931968,1540,0,629,629,73,7.2,627983,2179989504,570425344,33554432,7340396
1786242252,3354976,14240,83886080,22216118272,1539,0,633,633,68,7.2,618554,2173698048,570425344,33554432,7340396
1786242262,3338284,14240,83886080,22223470592,1539,0,633,633,92,7.2,619544,2155872256,570425344,33554432,7340396
1786242272,3338660,14240,83886080,22223470592,1539,0,637,637,83,7.2,622350,2155872256,570425344,33554432,7340396
1786242283,3338728,14240,83886080,22223470592,1539,0,641,641,62,7.2,617811,2155872256,570425344,33554432,6816082
1786242293,3338728,14240,83886080,22223470592,1539,0,645,645,56,7.2,617972,2155872256,570425344,33554432,4718826
1786242303,3338728,14240,83886080,22223470592,1539,0,646,646,80,7.2,619412,2155872256,570425344,33554432,6816082
1786242313,3338728,14240,83886080,22223470592,1539,0,650,650,68,7.2,619073,2155872256,570425344,33554432,6816082
1786242323,3338728,14240,83886080,22223470592,1539,0,654,654,62,7.2,620806,2155872256,570425344,33554432,6291768
1786242333,3338728,14240,83886080,22223470592,1539,0,654,654,82,7.2,621053,2155872256,570425344,33554432,6816082
1786242343,3338728,14240,83886080,22223470592,1539,0,658,658,76,7.2,622130,2155872256,570425344,33554432,6816082
1786242353,3338728,14240,83886080,22223470592,1539,0,658,658,92,7.2,617866,2155872256,570425344,33554432,6816082
1786242363,3338728,14240,83886080,22223470592,1539,0,658,658,106,7.1,617733,2155872256,570425344,33554432,6816082
1786242373,3338728,14240,83886080,22223470592,1539,0,662,662,84,7.1,620531,2155872256,570425344,33554432,6816082
1786242383,3338728,14240,83886080,22223470592,1539,0,663,663,100,7.1,621114,2155872256,570425344,33554432,6291768
