unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,live_bytes,compact_idle_pressure
1786695556,3301092,14240,83886080,20471644160,1874,0,330,330,63,6.0,582748,2156920832,570425344,33554432,6816082,1532127,19504,0,622408192,21978152960,0
1786695566,3300784,14240,83886080,20472692736,1874,0,334,334,52,6.0,580843,2156920832,570425344,33554432,6816082,1548590,19505,0,623149128,21978152960,0
1786695576,3300484,14240,83886080,20472692736,1874,0,334,334,79,6.0,579085,2155872256,570425344,33554432,6816082,1564859,19505,0,623881680,21978152960,0
1786695586,3301920,14240,83886080,20473741312,1874,0,338,338,72,6.1,579028,2156920832,570425344,33554432,6816082,1598575,19506,0,625361456,21978152960,0
1786695596,3299816,14240,83886080,20475838464,1874,0,338,338,99,6.1,579709,2155872256,570425344,33554432,6816082,1619071,19508,0,626344480,21978152960,0
1786695606,3299864,14240,83886080,20475838464,1874,0,338,338,105,6.0,579178,2155872256,570425344,33554432,6816082,1620200,19508,0,626398976,21978152960,0
1786695617,3301028,14240,83886080,20476887040,1874,0,342,342,90,6.1,580761,2156920832,570425344,33554432,6816082,1643148,19509,0,627580072,21978152960,0
1786695627,3300352,14240,83886080,20476887040,1874,0,345,345,71,6.1,588891,2155872256,570425344,33554432,6291768,1650008,19509,0,627938488,21978152960,0
1786695637,3301108,14240,83886080,20476887040,1874,0,348,348,60,6.1,586973,2155872256,570425344,33554432,6816082,1665648,19509,0,628709816,21978152960,0
1786695647,3301356,14240,83886080,20476887040,1874,0,349,349,73,6.1,579113,2155872256,570425344,33554432,6816082,1671017,19509,0,628967624,21978152960,0
1786695658,3300548,14240,83886080,20477935616,1874,0,352,352,66,6.1,582284,2155872256,570425344,33554432,6816082,1675543,19510,0,629188752,21978152960,0
1786695668,3301632,14240,83886080,20481085440,1874,0,355,355,67,6.1,581070,2157969408,570425344,33554432,6816082,1718813,19513,0,631351824,21978152960,0
1786695678,3299712,14240,83886080,20481085440,1874,0,356,356,74,6.1,582607,2155872256,570425344,33554432,6816082,1721269,19513,0,631478632,21978152960,0
1786695688,3300060,14240,83886080,20481085440,1873,0,360,360,55,6.1,581283,2155872256,570425344,33554432,6816082,1728554,19513,0,631848576,21978152960,0
1786695698,3304064,14240,83886080,20482138112,1873,0,360,360,83,6.1,585244,2155872256,570425344,33554432,6816082,1769418,19514,0,633966584,21978152960,0
