unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit
1785918524,597476,14240,83886080,0,0,0,9378,9378,11,7.4
1785918534,601584,14240,83886080,0,0,0,9411,9411,13,7.4
1785918544,603844,14240,83886080,0,0,0,9442,9441,16,7.4
1785918554,600576,14240,83886080,0,0,0,9477,9476,14,7.4
1785918564,601480,14240,83886080,0,0,0,9509,9509,14,7.4
1785918574,599616,14240,83886080,0,0,0,9543,9543,12,7.4
1785918584,600620,14240,83886080,0,0,0,9575,9575,13,7.4
1785918594,596748,14240,83886080,0,0,0,9610,9610,14,7.4
1785918604,597392,14240,83886080,0,0,0,9642,9642,13,7.4
1785918615,596392,14240,83886080,0,0,0,9674,9674,13,7.4
1785918625,595804,14240,83886080,0,0,0,9708,9708,12,7.4
1785918635,596656,14240,83886080,0,0,0,9740,9740,13,7.4
1785918645,595956,14240,83886080,0,0,0,9772,9772,13,7.4
1785918655,599508,14240,83886080,0,0,0,9805,9804,13,7.4
1785918665,598840,14240,83886080,0,0,0,9834,9834,13,7.4
1785918675,597452,14240,83886080,0,0,0,9866,9866,13,7.4
1785918685,596668,14240,83886080,0,0,0,9900,9900,12,7.4
1785918695,595608,14240,83886080,0,0,0,9930,9930,13,7.4
1785918705,597108,14240,83886080,0,0,0,9962,9962,13,7.4
1785918715,603716,14240,83886080,0,0,0,9994,9994,13,7.4
1785918726,596308,14240,83886080,0,0,0,10026,10026,13,7.4
1785918736,598448,14240,83886080,0,0,0,10058,10058,13,7.4
1785918746,595432,14240,83886080,0,0,0,10088,10088,14,7.4
1785918756,596504,14240,83886080,0,0,0,10120,10120,14,7.4
1785918766,596304,14240,83886080,0,0,0,10154,10154,12,7.4
1785918776,601484,14240,83886080,0,0,0,10182,10182,15,7.4
1785918786,601120,14240,83886080,0,0,0,10216,10216,14,7.4
1785918796,599960,14240,83886080,0,0,0,10248,10248,14,7.4
1785918806,596844,14240,83886080,0,0,0,10280,10280,11,7.4
1785918816,597808,14240,83886080,0,0,0,10312,10312,14,7.3
1785918826,599876,14240,83886080,0,0,0,10344,10344,12,7.3
1785918837,602284,14240,83886080,0,0,0,10373,10373,13,7.3
1785918847,598656,14240,83886080,0,0,0,10406,10406,13,7.3
1785918857,603988,14240,83886080,0,0,0,10438,10438,13,7.3
1785918867,597064,14240,83886080,0,0,0,10470,10470,12,7.3
1785918877,597024,14240,83886080,0,0,0,10502,10502,13,7.3
1785918887,604124,14240,83886080,0,0,0,10534,10534,13,7.3
1785918897,598516,14240,83886080,0,0,0,10564,10564,12,7.3
1785918907,597920,14240,83886080,0,0,0,10598,10598,12,7.3
1785918917,599492,14240,83886080,0,0,0,10630,10630,13,7.3
1785918927,599228,14240,83886080,0,0,0,10662,10662,12,7.3
1785918937,599676,14240,83886080,0,0,0,10696,10696,12,7.3
1785918947,599112,14240,83886080,0,0,0,10728,10728,12,7.3
1785918957,597956,14240,83886080,0,0,0,10760,10760,13,7.3
1785918968,599248,14240,83886080,0,0,0,10793,10793,14,7.3
1785918978,600648,14240,83886080,0,0,0,10826,10826,12,7.3
1785918988,598824,14240,83886080,0,0,0,10858,10858,13,7.3
1785918998,596692,14240,83886080,0,0,0,10890,10890,13,7.4
1785919008,601604,14240,83886080,0,0,0,10924,10924,14,7.4
1785919018,597808,14240,83886080,0,0,0,10956,10956,13,7.4
1785919028,601248,14240,83886080,0,0,0,10988,10988,13,7.4
1785919038,606672,14240,83886080,0,0,0,11018,11018,17,7.4
1785919048,597264,14240,83886080,0,0,0,11054,11054,13,7.4
1785919058,601188,14240,83886080,0,0,0,11086,11086,14,7.4
1785919068,596136,14240,83886080,0,0,0,11116,11116,16,7.4
1785919078,600348,14240,83886080,0,0,0,11150,11150,13,7.4
1785919089,601040,14240,83886080,0,0,0,11182,11182,15,7.4
1785919099,596840,14240,83886080,0,0,0,11214,11214,12,7.4
1785919109,599224,14240,83886080,0,0,0,11248,11248,13,7.4
1785919119,602244,14240,83886080,0,0,0,11280,11280,15,7.4
1785919129,597860,14240,83886080,0,0,0,11312,11312,13,7.4
1785919139,599944,14240,83886080,0,0,0,11345,11344,14,7.4
1785919149,599500,14240,83886080,0,0,0,11378,11378,14,7.4
1785919159,603680,14240,83886080,0,0,0,11406,11406,15,7.4
1785919169,600548,14240,83886080,0,0,0,11440,11440,14,7.4
1785919179,596816,14240,83886080,0,0,0,11476,11476,12,7.4
1785919190,598112,14240,83886080,0,0,0,11504,11504,15,7.4
1785919200,596768,14240,83886080,0,0,0,11538,11538,14,7.4
1785919210,597992,14240,83886080,0,0,0,11572,11572,13,7.4
1785919220,596764,14240,83886080,0,0,0,11602,11602,13,7.4
1785919230,596636,14240,83886080,0,0,0,11634,11634,14,7.4
1785919240,602684,14240,83886080,0,0,0,11668,11668,12,7.4
1785919250,599584,14240,83886080,0,0,0,11698,11698,12,7.4
1785919260,600272,14240,83886080,0,0,0,11730,11730,13,7.4
1785919270,598556,14240,83886080,0,0,0,11762,11762,14,7.4
1785919280,598032,14240,83886080,0,0,0,11794,11794,12,7.4
1785919290,601064,14240,83886080,0,0,0,11826,11826,14,7.4
1785919300,604488,14240,83886080,0,0,0,11856,11856,16,7.4
1785919310,599404,14240,83886080,0,0,0,11888,11888,13,7.4
1785919320,601800,14240,83886080,0,0,0,11922,11922,13,7.4
1785919331,597536,14240,83886080,0,0,0,11954,11954,12,7.4
1785919341,598400,14240,83886080,0,0,0,11986,11986,14,7.4
1785919351,598088,14240,83886080,0,0,0,12020,12019,13,7.4
1785919361,605796,14240,83886080,0,0,0,12048,12048,12,7.4
1785919371,598820,14240,83886080,0,0,0,12080,12080,14,7.4
1785919381,599432,14240,83886080,0,0,0,12114,12114,12,7.4
1785919391,596580,14240,83886080,0,0,0,12146,12146,11,7.4
1785919401,596080,14240,83886080,0,0,0,12178,12178,13,7.4
1785919411,598052,14240,83886080,0,0,0,12210,12210,13,7.4
1785919421,598340,14240,83886080,0,0,0,12240,12240,12,7.4
1785919431,599932,14240,83886080,0,0,0,12272,12272,13,7.4
1785919441,598476,14240,83886080,0,0,0,12304,12304,14,7.4
1785919452,599312,14240,83886080,0,0,0,12334,12334,14,7.4
1785919462,598952,14240,83886080,0,0,0,12366,12366,15,7.4
1785919472,602704,14240,83886080,0,0,0,12400,12400,12,7.4
1785919482,601040,14240,83886080,0,0,0,12431,12431,13,7.4
1785919492,599472,14240,83886080,0,0,0,12463,12463,14,7.5
1785919502,600152,14240,83886080,0,0,0,12494,12494,16,7.5
1785919512,597852,14240,83886080,0,0,0,12526,12526,13,7.5
1785919522,600756,14240,83886080,0,0,0,12558,12558,15,7.5
1785919532,600160,14240,83886080,0,0,0,12592,12592,13,7.5
1785919542,597748,14240,83886080,0,0,0,12624,12624,12,7.5
1785919552,597564,14240,83886080,0,0,0,12656,12656,13,7.5
1785919562,600768,14240,83886080,0,0,0,12687,12686,14,7.5
1785919572,599764,14240,83886080,0,0,0,12720,12719,15,7.5
1785919583,600856,14240,83886080,0,0,0,12753,12753,13,7.5
1785919593,600096,14240,83886080,0,0,0,12784,12784,13,7.5
1785919603,597088,14240,83886080,0,0,0,12816,12816,15,7.5
1785919613,597992,14240,83886080,0,0,0,12850,12850,14,7.5
1785919623,597952,14240,83886080,0,0,0,12882,12882,13,7.5
1785919633,604356,14240,83886080,0,0,0,12914,12914,13,7.5
1785919643,597456,14240,83886080,0,0,0,12948,12948,12,7.5
1785919653,602564,14240,83886080,0,0,0,12977,12977,13,7.5
1785919663,600632,14240,83886080,0,0,0,13011,13011,12,7.5
1785919673,600444,14240,83886080,0,0,0,13043,13043,13,7.5
1785919683,599968,14240,83886080,0,0,0,13075,13075,13,7.5
1785919694,596560,14240,83886080,0,0,0,13109,13109,12,7.5
1785919704,597660,14240,83886080,0,0,0,13141,13141,14,7.5
1785919714,599592,14240,83886080,0,0,0,13172,13172,12,7.5
1785919724,596472,14240,83886080,0,0,0,13205,13205,13,7.5
1785919734,602012,14240,83886080,0,0,0,13235,13235,16,7.5
1785919744,601100,14240,83886080,0,0,0,13267,13267,15,7.5
